,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
ORJx_det_out,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,3.16
ORJy_det_out,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,3.16
Intg_bound_out,2,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 8, 19, 3]",2252,17.76,3.46
H_bound_out,2,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 19, 19, 19, 3]",9111,368.78,3.463
B_out,2,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 19, 19, 19, 3]",9111,368.78,3.463
J,3,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 12, 4, 4, 4]",670,4.35,3.553
J_det,3,"[3, 3, 3, 3]","[3, 9, 3]",180,0.45,3.638
R,3,"[3, 3, 3, 3, 3, 3]","[3, 9, 23, 9, 3]",1422,0.51,3.668
dR,3,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,3.668
J_detRT,3,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 27, 9, 3]",1638,0.45,3.675
JdR,3,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,3.686
Intg_int,3,"[(5, 5), (5, 5)]",[16],800,0.78,3.926
Intg_str,3,"[(5, 5), (5, 5), (2, 1)]","[19, 2]",1429,0.87,3.926
H,3,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 54]",5655,594.16,3.926
S,3,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 16]",1198,1256494.16,3.927
F,3,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,3.928
Jx_det_in,3,"[2, 3, 3]","[2, 3]",31,0.58,4.011
Jy_det_in,3,"[2, 3, 3]","[1, 1]",8,2.25,4.011
Rx_in,3,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,4.011
Ry_in,3,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,4.011
Ox_in,3,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,4.011
Oy_in,3,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,4.011
ORx_in,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,4.026
ORy_in,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,4.026
ORJx_det_in,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,4.042
ORJy_det_in,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,4.042
Intg_bound_in,3,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[3, 8, 12, 12, 3]",2751,8375.14,4.311
H_bound_in,3,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[6, 11, 12, 12, 12, 3]",29655,38069.8,4.318
B_in,3,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[6, 11, 12, 12, 12, 3]",32031,563933.69,4.318
Jx_det_out,3,"[2, 3, 3]","[2, 3]",31,0.58,4.327
Jy_det_out,3,"[2, 3, 3]","[1, 1]",8,2.25,4.327
Rx_out,3,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,4.34
Ry_out,3,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,4.34
Ox_out,3,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,4.397
Oy_out,3,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,4.397
ORx_out,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,4.412
ORy_out,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,4.412
ORJx_det_out,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,4.429
ORJy_det_out,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,4.429
Intg_bound_out,3,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 10, 12, 3]",1631,24.52,4.665
H_bound_out,3,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",4367,769.41,4.668
B_out,3,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",4367,769.41,4.668
J,4,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[2, 6, 3, 3, 3, 3]",189,15.43,4.757
J_det,4,"[3, 3, 3, 3]","[1, 2, 1]",18,4.5,4.843
R,4,"[3, 3, 3, 3, 3, 3]","[3, 9, 9, 9, 3]",666,1.09,4.872
dR,4,"[3, 3, 3, 3, 3, 3, 2]","[3, 8, 12, 12, 5, 2]",1015,1.44,4.872
J_detRT,4,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 9, 9, 3]",666,1.09,4.877
JdR,4,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 15, 14, 6, 2]",1417,1.03,4.887
Intg_int,4,"[(5, 5), (5, 5)]",[1],50,12.5,5.049
Intg_str,4,"[(5, 5), (5, 5), (2, 1)]","[3, 2]",229,5.46,5.049
H,4,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 7]",955,3518.32,5.05
S,4,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,5.051
F,4,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,5.051
Jx_det_in,4,"[2, 3, 3]","[1, 1]",8,2.25,5.133
Jy_det_in,4,"[2, 3, 3]","[1, 1]",8,2.25,5.133
Rx_in,4,"[2, 3, 3, 3, 3]","[1, 3, 3, 1]",50,3.24,5.133
Ry_in,4,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,5.133
Ox_in,4,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,5.133
Oy_in,4,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,5.133
ORx_in,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 1, 3, 3, 1]",126,82.29,5.146
ORy_in,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,5.146
ORJx_det_in,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 1, 3, 3, 1]",126,82.29,5.159
ORJy_det_in,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,5.159
Intg_bound_in,4,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[3, 9, 10, 3, 2]",1544,14922.28,5.332
