,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
Ox_out,2,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,3.203
Oy_out,2,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,3.203
ORx_out,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,3.22
ORy_out,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,3.22
ORJx_det_out,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,3.237
ORJy_det_out,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,3.237
Intg_bound_out,2,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 8, 19, 3]",2252,17.76,3.552
H_bound_out,2,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 19, 19, 19, 3]",9111,368.78,3.556
B_out,2,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 19, 19, 19, 3]",9111,368.78,3.556
J,3,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 12, 4, 4, 4]",670,4.35,3.647
J_det,3,"[3, 3, 3, 3]","[3, 9, 3]",180,0.45,3.732
R,3,"[3, 3, 3, 3, 3, 3]","[3, 9, 23, 9, 3]",1422,0.51,3.762
dR,3,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,3.762
J_detRT,3,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 27, 9, 3]",1638,0.45,3.77
JdR,3,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,3.78
Intg_int,3,"[(5, 5), (5, 5)]",[16],800,0.78,4.034
Intg_str,3,"[(5, 5), (5, 5), (2, 1)]","[19, 2]",1429,0.87,4.034
H,3,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 54]",5655,594.16,4.035
S,3,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 16]",1198,1256494.16,4.036
F,3,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,4.037
Jx_det_in,3,"[2, 3, 3]","[2, 3]",31,0.58,4.121
Jy_det_in,3,"[2, 3, 3]","[1, 1]",8,2.25,4.121
Rx_in,3,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,4.121
Ry_in,3,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,4.121
Ox_in,3,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,4.121
Oy_in,3,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,4.121
ORx_in,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,4.137
ORy_in,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,4.137
ORJx_det_in,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,4.154
ORJy_det_in,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,4.154
Intg_bound_in,3,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[3, 8, 12, 12, 3]",2751,8375.14,4.443
H_bound_in,3,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[6, 11, 12, 12, 12, 3]",29655,38069.8,4.449
B_in,3,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[6, 11, 12, 12, 12, 3]",32031,563933.69,4.45
Jx_det_out,3,"[2, 3, 3]","[2, 3]",31,0.58,4.458
Jy_det_out,3,"[2, 3, 3]","[1, 1]",8,2.25,4.458
Rx_out,3,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,4.471
Ry_out,3,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,4.471
Ox_out,3,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,4.528
Oy_out,3,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,4.528
ORx_out,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,4.544
ORy_out,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,4.544
ORJx_det_out,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,4.561
ORJy_det_out,3,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,4.561
Intg_bound_out,3,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 10, 12, 3]",1631,24.52,4.803
H_bound_out,3,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",4367,769.41,4.808
B_out,3,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",4367,769.41,4.808
J,4,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[2, 6, 3, 3, 3, 3]",189,15.43,4.899
J_det,4,"[3, 3, 3, 3]","[1, 2, 1]",18,4.5,4.985
R,4,"[3, 3, 3, 3, 3, 3]","[3, 9, 9, 9, 3]",666,1.09,5.013
dR,4,"[3, 3, 3, 3, 3, 3, 2]","[3, 8, 12, 12, 5, 2]",1015,1.44,5.013
J_detRT,4,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 9, 9, 3]",666,1.09,5.019
JdR,4,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 15, 14, 6, 2]",1417,1.03,5.028
Intg_int,4,"[(5, 5), (5, 5)]",[1],50,12.5,5.194
Intg_str,4,"[(5, 5), (5, 5), (2, 1)]","[3, 2]",229,5.46,5.194
H,4,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 7]",955,3518.32,5.194
S,4,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 1]",448,3360000.0,5.196
F,4,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,5.196
Jx_det_in,4,"[2, 3, 3]","[1, 1]",8,2.25,5.278
Jy_det_in,4,"[2, 3, 3]","[1, 1]",8,2.25,5.279
Rx_in,4,"[2, 3, 3, 3, 3]","[1, 3, 3, 1]",50,3.24,5.279
Ry_in,4,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,5.279
Ox_in,4,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,5.279
Oy_in,4,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,5.279
ORx_in,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 1, 3, 3, 1]",126,82.29,5.292
ORy_in,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,5.292
ORJx_det_in,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 1, 3, 3, 1]",126,82.29,5.305
ORJy_det_in,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,5.305
Intg_bound_in,4,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[3, 9, 10, 3, 2]",1544,14922.28,5.483
H_bound_in,4,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 9, 3, 3, 3, 2]",2253,501091.88,5.487
B_in,4,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 9, 3, 3, 3, 2]",3009,6003110.67,5.488
Jx_det_out,4,"[2, 3, 3]","[1, 1]",8,2.25,5.496
Jy_det_out,4,"[2, 3, 3]","[1, 1]",8,2.25,5.496
Rx_out,4,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,5.51
Ry_out,4,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,5.51
Ox_out,4,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,5.565
Oy_out,4,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,5.565
ORx_out,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 2, 6, 6, 2]",266,38.98,5.578
ORy_out,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,5.579
ORJx_det_out,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 2, 6, 6, 2]",266,38.98,5.592
ORJy_det_out,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,5.592
Intg_bound_out,4,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 9, 3, 2]",468,85.47,5.765
H_bound_out,4,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 9, 3, 3, 3, 2]",639,5258.22,5.767
B_out,4,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 9, 3, 3, 3, 2]",639,5258.22,5.767
