,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
R,3,"[6, 6, 3, 3, 3, 3]","[6, 30, 25, 9, 3]",4131,0.71,8.177
dR,3,"[6, 6, 3, 3, 3, 3, 2]","[6, 32, 48, 16, 6, 2]",8428,0.69,8.177
J_detRT,3,"[(6, 1), (6, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[6, 34, 27, 9, 3]",4833,0.6,8.187
JdR,3,"[6, 6, 3, 3, 3, 3, 2]","[6, 36, 48, 16, 6, 2]",9148,0.64,8.201
Intg_int,3,"[(8, 8), (8, 8)]",[17],2176,1.88,8.739
Intg_str,3,"[(8, 8), (8, 8), (2, 1)]","[34, 2]",6532,1.25,8.739
H,3,"[(4, 1), (16, 1), (16, 1), (7, 1), (4, 1), (8, 8), (8, 8)]","[3, 3, 3, 3, 3, 85]",22159,5299.9,8.74
S,3,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 1), (8, 8), (8, 8)]","[1, 1, 1, 1, 1, 17]",2757,305336811.76,8.742
F,3,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 1), (8, 8), (8, 8)]","[1, 1, 1, 1, 1, 1]",709,1187325232.74,8.744
Jx_det_in,3,"[2, 6, 3]","[2, 3]",49,0.73,8.862
Jy_det_in,3,"[2, 6, 3]","[2, 3]",49,0.73,8.862
Rx_in,3,"[2, 6, 3, 3, 3]","[2, 9, 6, 2]",316,1.03,8.862
Ry_in,3,"[2, 6, 3, 3, 3]","[2, 8, 6, 3]",307,1.06,8.862
Ox_in,3,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,8.862
Oy_in,3,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,8.862
ORx_in,3,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 43, 19, 36, 18, 6, 2]",21462,15.46,8.889
ORy_in,3,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 2, 9, 6, 3]",1989,166.81,8.889
ORJx_det_in,3,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 43, 19, 36, 18, 6, 2]",21462,15.46,8.918
ORJy_det_in,3,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 4, 18, 6, 3]",2483,133.62,8.918
Intg_bound_in,3,"[(4, 4), (4, 4), (16, 1), (16, 1), (8, 8), (8, 8)]","[3, 8, 28, 21, 4]",19056,14086.66,9.316
H_bound_in,3,"[(4, 4), (16, 1), (16, 1), (7, 7), (4, 4), (8, 8), (8, 8)]","[6, 28, 21, 21, 21, 4]",46489,282934.4,9.353
B_in,3,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (8, 8), (8, 8)]","[6, 28, 21, 21, 21, 4]",227929,14773259.92,9.354
Jx_det_out,3,"[2, 6, 3]","[2, 3]",49,0.73,9.368
Jy_det_out,3,"[2, 6, 3]","[2, 3]",49,0.73,9.368
Rx_out,3,"[2, 6, 3, 3, 3]","[2, 9, 6, 2]",316,1.03,9.391
Ry_out,3,"[2, 6, 3, 3, 3]","[2, 8, 6, 3]",307,1.06,9.391
Ox_out,3,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,9.504
Oy_out,3,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,9.504
ORx_out,3,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 43, 19, 36, 18, 6, 2]",21462,15.46,9.534
ORy_out,3,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 2, 9, 6, 3]",1989,166.81,9.534
ORJx_det_out,3,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 43, 19, 36, 18, 6, 2]",21462,15.46,9.564
ORJy_det_out,3,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 4, 18, 6, 3]",2483,133.62,9.564
Intg_bound_out,3,"[(4, 1), (16, 1), (16, 1), (8, 8), (8, 8)]","[4, 28, 21, 4]",16848,248.95,10.406
H_bound_out,3,"[(4, 1), (16, 1), (16, 1), (7, 1), (4, 1), (8, 8), (8, 8)]","[4, 28, 21, 21, 21, 4]",21699,5412.25,10.413
B_out,3,"[(4, 1), (16, 1), (16, 1), (7, 1), (4, 1), (8, 8), (8, 8)]","[4, 28, 21, 21, 21, 4]",21699,5412.25,10.413
H,-1,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (8, 8), (8, 8)]","[3, 3, 3, 4, 12, 34]",34300,98170681.05,10.535
S,-1,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (8, 8), (8, 8)]","[1, 1, 1, 2, 4, 21]",7474,450529082.16,10.535
F,-1,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (8, 8), (8, 8)]","[1, 1, 1, 1, 2, 16]",3681,914766193.99,10.535
B_in,-1,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (8, 8), (8, 8)]","[8, 32, 43, 43, 49, 6]",561433,5997606.77,10.535
B_out,-1,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (8, 8), (8, 8)]","[4, 28, 41, 41, 48, 5]",452161,7447025.2,10.535
